# OPPS TRACKER - COMPLETE PLAYER DATABASE
# Generated: 02/09/2025, 02:10:15
# Discord Bot: OPPS TRACKER
# Total Players: 875
#
# DATABASE STATISTICS:
# - Total Players: 875
# - Royalty RP Only: 566
# - Horizon Only: 301
# - Both Servers: 8
# - Currently Tracked: 4
#
# FORMAT: PlayerName [Server(s)] {TrackingStatus} | First Seen | Last Seen | Total Sightings
# ========================================================================================

Amy [Horizon] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 1
Andrew [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
Anne [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 745
antisocial [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 407
anuyffxi [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 789
Anything [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 725
aperson [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 23/08/2025 | Sightings: 167
Apollo Conti [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 274
aprilludgating [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 275
ArchitectNATION [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 736
Armine [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
ashle [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 23/08/2025 | Sightings: 467
AsianTaco [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 275
Astrong410 [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 864
ASUS [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 699
AT [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
Ataraxia [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 12
Atomicor [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 23/08/2025 | Sightings: 455
austin [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 460
Autumniant [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 190
awild [Horizon] {Not Tracked} | First: 12/08/2025 | Last: 19/08/2025 | Sightings: 495
Awty [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 23/08/2025 | Sightings: 455
AyeAyeCaptain [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 71
babylexi098 [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 867
babys [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
Bacon [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 257
Baracus [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 9
Barb In Finance [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 891
Barney [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 455
Bats [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
BBL Krunky [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 455
beardedsavage [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 23
Beatrix [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 732
beestone [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 3
Bella signora [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 451
BIG CEO [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 127
Big justice [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 23/08/2025 | Sightings: 45
BigBird [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 128
BigFries [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
BigKountry [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 219
Bigtree97 [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 166
binxu [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
bip [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 32
bkowa [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 455
Blackcat [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 731
BlackViperGT [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 718
Blammy [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 3
Blax [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 51
Bluekazooie [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 69
BlueOnyxGaming [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 346
Bluntz32 [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 732
Bob Ross [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 02/09/2025 | Sightings: 735
Bobby Bill [Horizon] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 40
